TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"1074638","YuGiOh","2013 Zexal Collection Tin","Starliege Paladynamo","","ZTIN-EN014","Ultra Rare","Near Mint 1st Edition","0.83","","1.6700","0.6800","0","0","1.9900",""
"1252312","YuGiOh","2014 Mega-Tins","Archfiend Commander","","CT11-EN006","Super Rare","Near Mint Limited","0.22","","1.0900","0.1000","1","0","0.4900",""
"1252292","YuGiOh","2014 Mega-Tins","Brotherhood of the Fire Fist - Gorilla","","CT11-EN003","Super Rare","Near Mint Limited","0.20","","1.0700","0.0800","117","0","0.4900",""
"1252287","YuGiOh","2014 Mega-Tins","Brotherhood of the Fire Fist - Tiger King","","CT11-EN001","Secret Rare","Near Mint Limited","0.44","0.50","1.1800","0.1900","4","0","0.4900",""
"1252307","YuGiOh","2014 Mega-Tins","Bujingi Crane","","CT11-EN005","Super Rare","Near Mint Limited","0.25","","1.0800","0.0900","243","0","0.4900",""
"C-382399","YuGiOh","2014 Mega-Tins","Bujingi Crane","SPANISH Bujingi Crane","CT11-EN005","Super Rare","Near Mint Limited","","","","","1","0","0.9900","https://static.tcgplayer.com/2186CCF0-50D5-4C61-8766-227ED3085F8A"
"1252302","YuGiOh","2014 Mega-Tins","Bujintei Susanowo","","CT11-EN002","Secret Rare","Near Mint Limited","0.40","","1.1400","0.1500","0","0","0.4900",""
"1252297","YuGiOh","2014 Mega-Tins","Number 47: Nightmare Shark","","CT11-EN004","Super Rare","Near Mint Limited","0.60","","1.4000","0.4100","69","0","1.4900",""
"1252629","YuGiOh","2014 Mega-Tins Mega Pack","Abyss-scale of the Mizuchi","","MP14-EN040","Common","Near Mint 1st Edition","0.51","","1.1900","0.2000","6","0","0.7400",""
"1253534","YuGiOh","2014 Mega-Tins Mega Pack","Alsei, the Sylvan High Protector","","MP14-EN221","Ultra Rare","Near Mint 1st Edition","5.25","","5.1200","5.1200","1","0","5.9900",""
"1253009","YuGiOh","2014 Mega-Tins Mega Pack","Angel of Zera","","MP14-EN116","Secret Rare","Near Mint 1st Edition","1.46","","2.2300","1.2400","0","0","1.7400",""
"1252844","YuGiOh","2014 Mega-Tins Mega Pack","Archfiend Cavalry","","MP14-EN083","Rare","Near Mint 1st Edition","0.44","","1.2600","0.2700","22","0","0.4900",""
"1252849","YuGiOh","2014 Mega-Tins Mega Pack","Archfiend Emperor, the First Lord of Horror","","MP14-EN084","Rare","Near Mint 1st Edition","0.19","","1.1800","0.1900","1","0","0.4900",""
"1252839","YuGiOh","2014 Mega-Tins Mega Pack","Archfiend Heiress","","MP14-EN082","Rare","Near Mint 1st Edition","1.37","","1.9400","0.9500","0","0","1.9900",""
"1252954","YuGiOh","2014 Mega-Tins Mega Pack","Archfiend Palabyrinth","","MP14-EN105","Rare","Near Mint 1st Edition","1.11","","1.6800","0.6900","3","0","1.9900",""
"1252904","YuGiOh","2014 Mega-Tins Mega Pack","Armades, Keeper of Boundaries","","MP14-EN095","Secret Rare","Near Mint 1st Edition","1.01","","1.7000","0.7100","0","0","1.4900",""
"1253109","YuGiOh","2014 Mega-Tins Mega Pack","Baby Raccoon Ponpoko","","MP14-EN136","Common","Near Mint 1st Edition","0.34","","1.1900","0.2000","0","0","0.4900",""
"1253114","YuGiOh","2014 Mega-Tins Mega Pack","Baby Raccoon Tantan","","MP14-EN137","Common","Near Mint 1st Edition","0.47","","1.2100","0.2200","7","0","0.4900",""
"1252444","YuGiOh","2014 Mega-Tins Mega Pack","Battlin' Boxer Glassjaw","","MP14-EN003","Common","Near Mint 1st Edition","0.23","","1.0900","0.1000","8","0","0.4900",""
"1252439","YuGiOh","2014 Mega-Tins Mega Pack","Battlin' Boxer Headgeared","","MP14-EN002","Common","Near Mint 1st Edition","0.26","","1.0900","0.1000","4","0","0.4900",""
"1252564","YuGiOh","2014 Mega-Tins Mega Pack","Battlin' Boxer Lead Yoke","","MP14-EN027","Rare","Near Mint 1st Edition","0.71","","1.4900","0.5000","0","0","0.4900",""
"1252449","YuGiOh","2014 Mega-Tins Mega Pack","Battlin' Boxer Sparrer","","MP14-EN004","Common","Near Mint 1st Edition","0.52","","1.2400","0.2500","0","0","0.4900",""
