,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
281,2954254,YuGiOh,2015 Mega-Tins Mega Pack,Artifact Beagalltach,0,MP15-EN007,Common,Near Mint 1st Edition,0.22,0.0,1.15,0.16,10,0,0.99,0
296,2954369,YuGiOh,2015 Mega-Tins Mega Pack,"Cairngorgon, Antiluminescent Knight",0,MP15-EN030,Super Rare,Near Mint 1st Edition,0.77,0.0,1.49,0.5,5,0,1.24,0
298,2954654,YuGiOh,2015 Mega-Tins Mega Pack,"Chiwen, Light of the Yang Zing",0,MP15-EN087,Ultra Rare,Near Mint 1st Edition,2.99,3.44,2.84,1.85,1,0,2.99,0
299,2954984,YuGiOh,2015 Mega-Tins Mega Pack,Cloudcastle,0,MP15-EN125,Common,Near Mint 1st Edition,0.31,0.0,1.09,0.1,1,0,0.74,0
301,2955749,YuGiOh,2015 Mega-Tins Mega Pack,Dance Princess of the Nekroz,0,MP15-EN213,Rare,Near Mint 1st Edition,0.63,0.0,1.42,0.43,16,0,1.24,0
304,2954679,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 001,0,MP15-EN092,Common,Near Mint 1st Edition,0.15,0.0,1.08,0.09,4,0,0.74,0
305,2955281,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 002,0,MP15-EN156,Common,Near Mint 1st Edition,0.38,0.0,1.26,0.27,24,0,0.99,0
306,2955774,YuGiOh,2015 Mega-Tins Mega Pack,Deskbot 003,0,MP15-EN218,Common,Near Mint 1st Edition,0.61,0.0,1.18,0.19,2,0,0.99,0
307,2954819,YuGiOh,2015 Mega-Tins Mega Pack,Doomstar Magician,0,MP15-EN120,Ultra Rare,Near Mint 1st Edition,0.36,0.0,1.27,0.28,12,0,0.99,0
310,2955301,YuGiOh,2015 Mega-Tins Mega Pack,El Shaddoll Grysta,0,MP15-EN160,Secret Rare,Near Mint 1st Edition,0.84,0.0,1.68,0.69,1,0,1.99,0
316,2954974,YuGiOh,2015 Mega-Tins Mega Pack,"Felis, Lightsworn Archer",0,MP15-EN123,Ultra Rare,Near Mint 1st Edition,0.83,0.0,1.64,0.65,1,0,1.49,0
318,2954509,YuGiOh,2015 Mega-Tins Mega Pack,Flash Knight,0,MP15-EN058,Rare,Near Mint 1st Edition,0.2,0.0,1.14,0.15,15,0,0.99,0
320,2955211,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Cat,0,MP15-EN142,Common,Near Mint 1st Edition,0.56,0.0,1.44,0.45,4,0,1.24,0
321,2955201,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Dog,0,MP15-EN140,Rare,Near Mint 1st Edition,1.22,0.0,1.96,0.97,1,0,1.99,0
323,2955206,YuGiOh,2015 Mega-Tins Mega Pack,Fluffal Owl,0,MP15-EN141,Rare,Near Mint 1st Edition,0.39,0.0,1.41,0.42,6,0,1.24,0
326,2954514,YuGiOh,2015 Mega-Tins Mega Pack,Foucault's Cannon,0,MP15-EN059,Super Rare,Near Mint 1st Edition,0.16,0.0,1.11,0.12,4,0,0.74,0
327,2955291,YuGiOh,2015 Mega-Tins Mega Pack,Frightfur Bear,0,MP15-EN158,Rare,Near Mint 1st Edition,0.49,0.0,1.39,0.4,9,0,1.24,0
328,2955296,YuGiOh,2015 Mega-Tins Mega Pack,Frightfur Wolf,0,MP15-EN159,Rare,Near Mint 1st Edition,0.39,0.0,1.24,0.25,14,0,0.99,0
329,2955426,YuGiOh,2015 Mega-Tins Mega Pack,Fusion Reserve,0,MP15-EN185,Ultra Rare,Near Mint 1st Edition,0.53,0.0,1.36,0.37,17,0,0.99,0
330,2954234,YuGiOh,2015 Mega-Tins Mega Pack,Galaxy Tyranno,0,MP15-EN003,Rare,Near Mint 1st Edition,0.42,0.0,1.33,0.34,1,0,0.99,0
335,2955699,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Antra,0,MP15-EN203,Super Rare,Near Mint 1st Edition,0.7,0.0,1.44,0.45,12,0,1.24,0
337,2955724,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Attondel,0,MP15-EN208,Common,Near Mint 1st Edition,0.23,0.0,1.14,0.15,64,0,0.99,0
340,2955709,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Patrulea,0,MP15-EN205,Rare,Near Mint 1st Edition,0.43,0.0,1.33,0.34,29,0,0.99,0
341,2955714,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Piaty,0,MP15-EN206,Common,Near Mint 1st Edition,0.27,0.0,1.16,0.17,41,0,0.99,0
342,2955719,YuGiOh,2015 Mega-Tins Mega Pack,Infernoid Seitsemas,0,MP15-EN207,Common,Near Mint 1st Edition,0.25,0.0,1.19,0.2,52,0,0.99,0
345,2955764,YuGiOh,2015 Mega-Tins Mega Pack,Lightning Rod Lord,0,MP15-EN216,Super Rare,Near Mint 1st Edition,0.23,0.0,1.14,0.15,10,0,0.99,0
348,2955794,YuGiOh,2015 Mega-Tins Mega Pack,Metaphys Horus,0,MP15-EN222,Ultra Rare,Near Mint 1st Edition,0.56,0.0,1.17,0.18,13,0,0.99,0
350,2955839,YuGiOh,2015 Mega-Tins Mega Pack,Nekroz Cycle,0,MP15-EN231,Rare,Near Mint 1st Edition,0.61,0.0,1.44,0.45,4,0,1.24,0
353,2955266,YuGiOh,2015 Mega-Tins Mega Pack,Night Dragolich,0,MP15-EN153,Ultra Rare,Near Mint 1st Edition,0.42,0.0,1.32,0.33,7,0,0.99,0
355,2955441,YuGiOh,2015 Mega-Tins Mega Pack,Number 39: Utopia Beyond,0,MP15-EN188,Super Rare,Near Mint 1st Edition,4.17,7.15,3.16,2.17,2,0,5.0,0
356,2954494,YuGiOh,2015 Mega-Tins Mega Pack,Number 42: Galaxy Tomahawk,0,MP15-EN055,Common,Near Mint 1st Edition,0.58,0.0,1.41,0.38,10,0,1.24,0
362,2954979,YuGiOh,2015 Mega-Tins Mega Pack,Panzer Dragon,0,MP15-EN124,Rare,Near Mint 1st Edition,0.59,0.0,1.48,0.49,1,0,1.24,0
363,2954994,YuGiOh,2015 Mega-Tins Mega Pack,Performapal Trampolynx,0,MP15-EN127,Rare,Near Mint 1st Edition,0.42,0.0,1.18,0.19,6,0,0.99,0
364,2954529,YuGiOh,2015 Mega-Tins Mega Pack,Performapal Whip Snake,0,MP15-EN062,Rare,Near Mint 1st Edition,0.31,0.0,1.14,0.15,2,0,0.99,0
367,2954649,YuGiOh,2015 Mega-Tins Mega Pack,"Pulao, Wind of the Yang Zing",0,MP15-EN086,Super Rare,Near Mint 1st Edition,0.28,0.0,1.19,0.2,21,0,0.99,0
370,2955221,YuGiOh,2015 Mega-Tins Mega Pack,Qliphort Scout,0,MP15-EN144,Ultra Rare,Near Mint 1st Edition,0.92,0.0,1.48,0.49,1,0,1.24,0
371,2955734,YuGiOh,2015 Mega-Tins Mega Pack,Qliphort Stealth,0,MP15-EN210,Ultra Rare,Near Mint 1st Edition,1.87,0.0,2.48,1.49,1,0,2.49,0
374,2955894,YuGiOh,2015 Mega-Tins Mega Pack,Re-qliate,0,MP15-EN242,Common,Near Mint 1st Edition,0.25,0.0,1.2,0.21,2,0,0.99,0
381,2955231,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Sirius,0,MP15-EN146,Rare,Near Mint 1st Edition,0.36,0.0,1.18,0.19,9,0,0.99,0
383,2954604,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Unukalhai,0,MP15-EN077,Common,Near Mint 1st Edition,0.26,0.0,1.1,0.1,54,0,0.74,0
384,2954599,YuGiOh,2015 Mega-Tins Mega Pack,Satellarknight Vega,0,MP15-EN076,Common,Near Mint 1st Edition,0.38,0.0,1.19,0.2,29,0,0.99,0
386,2954794,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Core,0,MP15-EN115,Super Rare,Near Mint 1st Edition,0.86,0.0,1.42,0.43,1,0,1.49,0
388,2954609,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Falco,0,MP15-EN078,Rare,Near Mint 1st Edition,0.36,0.0,1.22,0.23,22,0,0.99,0
389,2954734,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Fusion,0,MP15-EN103,Super Rare,Near Mint 1st Edition,1.94,0.0,2.22,1.23,1,0,2.49,0
390,2954614,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Hedgehog,0,MP15-EN079,Common,Near Mint 1st Edition,0.23,0.0,1.14,0.15,57,0,0.99,0
391,2955246,YuGiOh,2015 Mega-Tins Mega Pack,Shaddoll Hound,0,MP15-EN149,Common,Near Mint 1st Edition,0.21,0.0,1.13,0.14,2,0,0.99,0
401,2954634,YuGiOh,2015 Mega-Tins Mega Pack,"Suanni, Fire of the Yang Zing",0,MP15-EN083,Super Rare,Near Mint 1st Edition,0.59,0.0,1.4,0.41,2,0,1.49,0
402,2954564,YuGiOh,2015 Mega-Tins Mega Pack,Superheavy Samurai Big Benkei,0,MP15-EN069,Rare,Near Mint 1st Edition,1.03,0.0,1.68,0.69,2,0,1.49,0
410,2954419,YuGiOh,2015 Mega-Tins Mega Pack,Tachyon Chaos Hole,0,MP15-EN040,Super Rare,Near Mint 1st Edition,0.96,0.0,1.83,0.84,1,0,1.99,0
411,2955251,YuGiOh,2015 Mega-Tins Mega Pack,"Taotie, Shadow of the Yang Zing",0,MP15-EN150,Super Rare,Near Mint 1st Edition,0.28,0.0,1.09,0.1,9,0,0.74,0
412,2955844,YuGiOh,2015 Mega-Tins Mega Pack,Tenacity of the Monarchs,0,MP15-EN232,Rare,Near Mint 1st Edition,1.3,0.0,2.24,1.25,2,0,1.9900000000000002,0
414,2954764,YuGiOh,2015 Mega-Tins Mega Pack,The Monarchs Stormforth,0,MP15-EN109,Common,Near Mint 1st Edition,0.3,0.0,1.22,0.23,59,0,0.99,0
417,2955351,YuGiOh,2015 Mega-Tins Mega Pack,Toy Vendor,0,MP15-EN170,Common,Near Mint 1st Edition,0.48,0.0,1.42,0.43,31,0,1.24,0
418,2954309,YuGiOh,2015 Mega-Tins Mega Pack,Traptrix Dionaea,0,MP15-EN018,Rare,Near Mint 1st Edition,0.89,0.0,1.48,0.49,1,0,1.24,0
422,2955829,YuGiOh,2015 Mega-Tins Mega Pack,Void Expansion,0,MP15-EN229,Rare,Near Mint 1st Edition,0.27,0.0,1.19,0.2,3,0,0.99,0
423,2955889,YuGiOh,2015 Mega-Tins Mega Pack,Void Launch,0,MP15-EN241,Super Rare,Near Mint 1st Edition,0.2,0.0,1.14,0.15,3,0,0.99,0
424,2955824,YuGiOh,2015 Mega-Tins Mega Pack,Void Seer,0,MP15-EN228,Super Rare,Near Mint 1st Edition,0.41,0.0,1.21,0.22,17,0,0.99,0
429,3198199,YuGiOh,2016 Mega-Tins,"Aether, the Evil Empowering Dragon",0,CT13-EN011,Super Rare,Near Mint Limited,0.21,0.0,1.07,0.08,240,0,0.74,0
442,3199394,YuGiOh,2016 Mega-Tins Mega Pack,Arisen Gaia the Fierce Knight,0,MP16-EN238,Rare,Near Mint 1st Edition,2.44,0.0,2.44,1.45,8,0,2.74,0
